zip,lat,lng,population,density
1034,42.0826,-72.95611,2100,12.0
1035,42.35563,-72.5692,5299,88.6
1036,42.0638,-72.4157,4937,97.2
1037,42.37063,-72.19466,486,10.1
1038,42.38466,-72.60559,2534,106.1
1039,42.41049,-72.69188,1660,38.9
1040,42.21251,-72.64109,37949,692.3
1050,42.29092,-72.87526,2573,24.0
1053,42.35205,-72.71032,2033,136.5
1054,42.47381,-72.48768,1704,28.7
1056,42.19211,-72.45805,20846,296.0
1057,42.09118,-72.32392,8200,71.1
1060,42.32218,-72.63126,15237,541.3
1062,42.32146,-72.69244,9188,203.3
1063,42.31962,-72.63951,2121,9267.2
1066,42.40742,-72.64032,115,35.2
1068,42.35125,-72.04776,1623,28.9
1069,42.18798,-72.30578,9077,124.9
1070,42.51958,-72.92504,593,11.5
1071,42.16029,-72.8598,1219,30.0
1072,42.46327,-72.41893,1447,29.3
1073,42.23084,-72.73856,6212,85.2
1074,42.3837,-72.10021,749,1115.2
1075,42.25672,-72.57928,17410,379.3
1077,42.05441,-72.77851,9222,115.4
1079,42.18508,-72.33406,282,67.7
1080,42.18228,-72.36515,2308,535.1
1081,42.06232,-72.23085,1704,45.5
1082,42.29816,-72.27676,10418,85.6
1083,42.20652,-72.19906,2746,83.1
1084,42.38589,-72.88165,101,4.7
1085,42.15375,-72.76961,41466,268.1
1088,42.38981,-72.6465,654,48.1
1089,42.12532,-72.65025,28635,660.8
1092,42.20008,-72.23715,1123,64.5
1093,42.44335,-72.65099,149,13.3
1094,42.36481,-72.13548,64,34.3
1095,42.12763,-72.42994,14615,250.9
1096,42.40968,-72.77213,2566,27.6
1097,42.17722,-72.83175,45,10.0
1098,42.39551,-72.94315,1019,12.3
1103,42.10443,-72.58997,2336,2074.4
1104,42.13326,-72.56733,21745,1604.7
1105,42.09911,-72.57865,11469,3672.1
1106,42.04877,-72.57163,15961,642.9
1107,42.12116,-72.60642,12270,3071.6
1108,42.0814,-72.55866,27409,3075.4
1109,42.11839,-72.54876,31418,2229.4
1118,42.09476,-72.5253,15009,1611.6
1119,42.12452,-72.51126,14059,1537.5
1128,42.09497,-72.48806,3252,1132.2
1129,42.1211,-72.4877,5993,673.4
1144,42.10189,-72.59091,0,0.0
1151,42.15294,-72.50883,9627,1569.2
1201,42.45614,-73.28114,45072,288.3
1220,42.62686,-73.11873,8106,136.7
1222,42.06242,-73.32146,611,51.4
1223,42.31118,-73.09835,2588,14.4
1224,42.50622,-73.19841,201,166.8
1225,42.56385,-73.1512,3234,46.6
1226,42.47954,-73.15329,6304,111.9
1229,42.29411,-73.35227,213,33.1
1230,42.18197,-73.34244,8813,35.1
1235,42.43181,-73.07336,2456,20.3
1236,42.26923,-73.37999,1593,93.0
1237,42.5529,-73.25373,2269,17.8
1238,42.30072,-73.22553,5893,82.4
1240,42.37567,-73.26466,5024,81.1
1242,42.3334,-73.24967,165,138.7
1243,42.34752,-73.03467,196,5.3
1244,42.10924,-73.27475,243,16.3
1245,42.19043,-73.21579,828,12.4
1247,42.69813,-73.09264,14967,125.9
1253,42.20751,-73.1118,903,16.4
1254,42.37972,-73.36608,962,25.7
1255,42.1068,-73.12213,850,6.5
1256,42.59627,-73.01958,733,7.9
1257,42.0976,-73.37241,2331,26.6
1258,42.09396,-73.46616,191,3.3
1259,42.07316,-73.23282,778,13.1
1260,42.26663,-73.2712,20,3.0
1262,42.30433,-73.32013,1652,32.3
1264,42.23997,-73.19686,184,4.9
1266,42.30264,-73.39846,919,17.6
1267,42.66593,-73.24209,7985,52.0
1270,42.51297,-73.04859,1002,12.0
1301,42.62375,-72.60379,17876,272.3
1330,42.51772,-72.81556,1711,19.2
1331,42.56793,-72.18324,13865,98.8
1337,42.69512,-72.57731,2515,26.0
1338,42.5814,-72.80309,79,23.3
1339,42.61099,-72.88846,1361,9.0
1340,42.68805,-72.73205,1807,13.4
1341,42.50734,-72.70221,1605,18.5
1342,42.54384,-72.6058,1313,27.5
1343,42.66766,-72.98822,190,6.4
1344,42.60756,-72.42916,1639,45.9
1346,42.6706,-72.81323,453,13.1
1347,42.56027,-72.51321,114,123.2
1349,42.56656,-72.47045,753,29.5
1350,42.72259,-72.98291,115,4.2
1351,42.54162,-72.52069,2644,52.1
1354,42.63282,-72.51136,1831,51.4
1355,42.45101,-72.33141,963,7.8
1360,42.67575,-72.446,2875,32.4
1364,42.60449,-72.29263,7668,82.2
1366,42.48858,-72.18564,1173,12.3
1367,42.69674,-72.91387,574,9.0
1368,42.67815,-72.18557,1497,13.0
1370,42.59607,-72.72915,3641,29.2
1373,42.47292,-72.61516,4784,80.1
1375,42.46475,-72.55489,3653,100.2
1376,42.59273,-72.54591,5032,476.3
